500	0.531700
1000	0.358600
1500	0.275900
2000	0.205800
2500	0.158700
3000	0.124200
3500	0.094900
4000	0.083400
4500	0.066900
5000	0.058100
5500	0.050700
6000	0.046800
6500	0.038300
7000	0.033500
7500	0.032800
8000	0.026900
8500	0.028600
9000	0.023200
9500	0.020300
10000	0.018500
10500	0.017200
11000	0.015200
11500	0.014600
12000	0.013800
12500	0.012400
13000	0.008500
13500	0.010000
14000	0.008100
14500	0.010000
15000	0.009300
15500	0.009900
16000	0.006600
16500	0.010300
17000	0.005900
17500	0.004700
18000	0.004800
18500	0.004700
19000	0.007800
19500	0.004000
20000	0.002900
20500	0.003700
21000	0.003300
21500	0.003900
22000	0.002200
22500	0.001600
23000	0.001700
23500	0.002100
24000	0.000700
24500	0.000900
25000	0.001400
25500	0.001800
